name,time,percantage,words
Daniel Wittwer,00:00:01,0.5,5
Dominik Mönig,00:00:17,6.2%56
Hauptbootsmann Mahr,00:00:04,1.7%,13
Jerome Demelius,00:00:25,8.9%,25
Julia Weißhuhn,00:00:26,12.8%,115
Leon von Garrel,00:00:11,4.1%,17
Marcel Figule,00:00:11,4.2%,43
Matrose Martin,00:00:03,1.1%,13
Matrosin Schang,00:00:02,0.8%,10
Oberbootsmann Knoll,00:00:12,4.3%,29
Oberleutnant zur See Boldt,00:00:37,13.2%,87
Patrick Döring,00:01:03,22.5%,95
Stabsgefreiter Neubert,00:00:47,16.9%,63
Unbekannter Ausbilder,00:00:04,1.6%,11
Unbekannter Rekrut,00:00:02,1%,2
