name,time,percantage,words
Dominik Mönig,00:00:04,2.5%,16
Hauptbootsmann Loose,00:01:02,34.9%,162
Hauptbootsmann Petersen,00:00:19,11%,72
Hauptbootsmann Sowa,00:00:15,8.6%,19
Hauptbootsmann Bakali,00:00:14,8.4%,54
Jerome Demelius,00:00:30,17.2%,72
Kameramann,00:00:06,3.9%,3
Leon von Garrel,00:00:02,1.5%,12
Lukas Keitel,00:00:06,3.9%,20
Matrose Rathje,00:00:01,0.8%,7
Nathan Palme,00:00:06,3.6%,22
Sebastian Arendt,00:00:01,0.7%,11
Stabsgefreiter Neubert,00:00:00,0.3%,7
Unbekannter Rekrut,00:00:04,2.6%,20
