name,time,percantage,words
Alle,00:00:0,0.1%,2
Anna-Lena Drafke,00:00:14,7.9%,46
Dominik Mönig,00:00:05,3.1%,16
Jerome Demelius,00:00:11,6.4%,30
Julia Weißhuhn,00:00:11,6.5%,40
Kameramann,00:00:01,0.6%,6
Leon von Garrel,00:00:05,2.9%,6
Lukas Keitel,00:00:28,15.5%,105
Marcel Figule,00:00:06,3.5%,11
Marvin Baunach,00:00:01,1%,12
Oberbootsmann Knoll,00:00:39,21.7%,83
Oberbootsmann Sowa,00:00:09,5.4%,35
Patrick Döring,00:00:01,0.9%,4
Stabsgefreiter Neubert,00:00:32,17,8%,60
Unbekannter Ausbilder,00:00:12,6.8%,7
