name,time,percantage,words
Alle,00:00:00,0%,2
Anna-Lena Drafke,00:00:12,2.6%,38
Daniel Wittwer,00:00:23,5.2%,84
Dominik Mönig,00:00:18,4%,59
Hauptbootsmann Mahr,00:02:09,28.5%,361
Jerome Demelius,00:00:34,7.5%,103
Julia Wei0huhn,00:00:25,5.6%,81
Kevin-Jack Baumann,00:00:04,0.9%,12
Leon von Garrel,00:00:05,1.2%,9
Lukas Keitel,00:00:44,9.8%,167
Matrose Martin,00:00:23,5.1%,76
Obermaat Scholwin,00:01:28,19.5%,230
Patrick Döring,00:00:19,4.2%,48
Sebastian Arendt,00:00:02,0.6%,7
Unbekannter Rekrut,00:00:03,0.8%,10
