name,time,percantage,words
Alle,00:00:01,0.7%,5
Dominik Mönig,00:00:12,4.7%,20
Hauptbootsmann Mahr,00:00:42,16%,69
Hauptbootmann Peterson,00:00:03,1.2%,17
Hauptbootsmann Loose,00:00:49, 18.5%,153
Jerome Demelius,00:00:09,3.6%,26
Kameramann,00:00:02.0.8%,16
Kevin-Jack Baumann,00:00:07,2.8%,12
Leon von Garrel,00:00:19,7.4%,66
Lukas Keitel,00:00:15,5.8%,57
Marvin Baunach,00:00:07,2.6%,15
Matrose Balthaus,00:00:05,1.9%,21
Matrose Meissner,00:00:12,4.7%,32
Oberbootsmann Knoll,00:00:05,2.1%,19
Obermaat Scholwin,00:00:46,17.3%,141
Oberbootsmann Sowa,00:00:17,6.4%,39
Stabsgefreiter Neubert,00:00:02,0.8%,6
Unbekannter Rekrut,00:00:07,2.6%,11
