name,time,percantage,words
Alle,00:00:01,0.4%,1
Daniel Wittwer,00:00:13,4.4%,15
Dominik Mönig,00:00:23,7.7%,74
Hauptobbotsmann Mahr,00:02:41,53.1%,327
Jerome Demelius,00:00:38,12.5%,133
Kameramann,00:00:00,0.3%,5
Marcel Figule,00:00:00,0.8%,7
Marvin Baunach,00:00:17,5.8%,35
Matrose Martin,00:00:17,5.6%,58
Patrick Döring,00:00:27,9.1%,25
Unbekannter Rekrut,00:00:00,0.3%,7
