name,time,percantage,words
Alle,00:00:00,0.2%,2
Anna-Lena Drafke,00:00:04,1.9%,12
Daniel Wittwer,00:00:07,2.9%,22
Dominik Mönig,00:00:26,10.4%,79
Jerome Demelius,00:00:38,15.2%,107
Julia Weißhuhn,00:00:11,4.5%,16
Leon von Garrel,00:00:09,3.7%,29
Lukas Keitel,00:00:02,1%,10
Marcel Figule,00:00:21,8.5%,63
Matrose Martin,00:00:13,5.3%,55
Oberbootsmann Müller,00:00:01,0.8%,8
Oberbootsmann Quenzel,00:00:19,8%,67
Oberbootsmann Sowa,00:00:53,21.3%
Obermaat Scholwin,00:00:20,8%,68
Patrick Döring,00:00:00,0.2%,3
Sebastian Arendt,00:00:18,7.3%,47
Unbekannter Rekrut,00:00:01,0.8%,6
