name,time,percantage,words
Anna-Lena Drafke,00:00:00,0%,6
Dominik Mönig,00:00:28,10.2%,71
Jerome Demelius,00:00:12,4.6%,21
Julia Weißhuhn,00:00:15,5.6%,41
Jürgen Geiss,00:00:22,8.1%,52
Kameramann,00:00:01,0.4%,1
Kevin-Jack Baumann,00:00:02,1%,5
Lukas Keitel,00:00:35,13%,110
Marcel Figule,00:00:32,11.8%,80
Marvin Baunach,00:00:23,8.6%,73
Matrose Balthaus,00:00:03,1.4%,10
Matrose Martin,00:00:10,3.9%,31
Militärpfarrer Carsten Süberkrüb,00:00:42,15.3%,106
Obermaat Scholwin,00:00:43,16%,116
