name,time,percantage,words
Daniel Wittwer,00:00:03,1.5%,10
Hauptbootsmann Loose,00:00:09,3.7%,32
Jerome Demelius,00:00:40,16.5%,105
Julia Weißhuhn,00:00:00,0.1%,4
Kemerafrau,00:00:01,0.7%,6
Leon von Garrel,00:00.21,8.7%,57
Lukas Keitel,00:00:10,4.1%,11
Marvin Baunach,00:00:08,3.3%,47
Matrose Martin,00:00:05,2.2%,16
Nathan Palme,00:00:05,2.4%,17
Oberbootsmann Quenzel,00:00:41,16.9%,121
Oberbootsmann Sowa,00:00:27,11.3%,78
Patrick Döring,00:00:03,1.4%,15
Stabsgefreiter Meliss,00:00:08,3.5%,26
Stabsgefreiter Neubert,00:00:54,22.4%,125
Unbekannter Rekrut,00:00:02,0.9%,5
