name,time,percantage,words
Anna-Lena Drafke,00:00:00,0.1%,1
Dominik Mönig,00:00:05,2%,21
Hauptgefreiter Bakali,00:00:29,10.6%,94
Jerome Demelius,00:00:23,8.5%,59
Kameramann,00:00:00,0.3%,5
Kevin-Jack Baumann,00:00:05,2.1%,14
Lukas Keitel,00:00:06,2.5%,26
Marvin Baunach,00:00:40,14.8%,115
Matrose Balthaus,00:00:03,1.3%,10
Matrose Martin,00:00:12,4.5%,43
Obermaat Prudöhl,00:00:07,2.8%,30
Oberbootmann Sowa,00:00:42,15.4%,115
Patrick Döring,00:00:26,9.5%,75
Sebastian Arendt,00:00:55,20.1%,156
Stabsgefreiter Neubert,00:00:03,1.4%,18
Unbekannter Arzt,00:00:10,3.8%,41
Unbekannter Rekrut,00:00:00,0.1%,1
