name,time,percantage,words
Anna-Lena Drafke,00:00:29,10.8%,110
Daniel Wittwer,00:00:08,3%,38
Empfangssoldatin,00:00:02,1%,5
Hauptbootsmann Mahr,00:00:25,9.2%,75
Hauptbootsmann Loose,00:0041,151
Jerome Demelius,00:00:33,12%,58
Julia Weißhuhn,00:00:30,11%,78
Kameramann,00:00:00,0.3%,4
Lukas Keitel,00:00:00,0.2%,1
Marcel Figule,00:00:18,6.7%,54
Nathan Palme,00:00:00,0.1%,3
Oberbootsmann Knoll,00:00:01,0.4%,4
Oberbootsmann Sowa,00:00:43,15.6%,115
Patrick Döring,00:00:09,3.4%,37
Stabsgefreiter Meliss,00:00:02,0.8%,8
Stabsgefreiter Neubert,00:00:03,1.4%,12
Unbekannter Ausbilder,00:00:14,5.1%,60
Unbekannter Rekrut,00:00:11,4.2%,20
