name,time,percantage,words
Alle,00:00:03,1.2%,2
Hauptbootsmann Mahr,00:00:56,21.9%,134
Hauptbootsmann Loose,00:00:00,0.1%,2
Jerome Demelius,00:01:15,29.4%,171
Kevin-Jack-Baumann,00:00:01,0.7%,2
Leon von Garrel,00:00:01,0.7%,9
Lukas Keitel,00:00:17,6.8%,52
Marcel Figule,00:00:03,1.2%,11
Matrose Martin,00:00:02,0.9%,8
Matrose Ratjhje,00:00:01,0.7%,6
Matrosin Schang,00:00:03,1.4%,5
Oberbootsmann Sowa,00:00:10,4%,21
Patrick Döring,00:00:04,1.9%,12
Stabsgefreiter Neubert,00:01:12,28.2%,143
Unbekannter Rekrut,00:00:02,0.8%,13
