name,time,percantage,words
Alle,00:00:01,0.5%,2
Anna-Lena Drafke,00:00:03,1%,4
Daniel Wittwer,25%,5
Dominik Mönig,00:00:40,10.3%,90
Hauptbootsmann Peterson,00:00:05,1.5%,15
Hauptbootsmann Loosen,00:00:32,8.2%,106
Jerome Demelius,00:00:23,6%,65
Julia Weißhuhn,00:00:58,14.8%,162
Leon von Garrel,00:00:00,0.2%,3
Marvin Baunach,00:00:07,1.9%,27
Patrick Döring,00:00:20,5.3%,40
Stabsgefreiter Neubert,00:03:07,47.4%,540
Unbekannter Rekrut,00:00:01,0.4%,8
