name,time,percantage,words
Einkleide-Personal,00:00:54,19.7%,150
Hauptbootsmann Mahr,00:0014,5.3%,43
Hauptbootsmann Loose,00:00:18,6.8%,55
Hauptgefreiter Bakali,00:00:21,7.7%,70
Jerome Demelius,00:01:01,22.3%,124
Julia Weißhuhn,00:00:42,15.3%,91
Kameramann,00:00:1,0.5%,2
Nathan Palme,00:00:20,7.3%,60
Stabsgefreiter Meliss,00:00:05,2%,25
Stabsgefreiter Neubert,00:00:36,13%,94
