name,time,percantage,words
Anna-Lena Drafke,00:00:32,11.5%,73
Daniel Wittwer,00:00:03,1.1%,14
Demuth,00:00:03,1.1%,2
Hauptbootmann Loose,00:00:21,7.5%,67
Jerome Demelius,00:01:33,33%,269
Julia,Weißhuhn,0.9%,9
Leon von Garrel,00:00:19,6.9%,66
Lukas Keitel,00:00:16,5.9%,69
Marcel Figule,00:00:05,1.9%,21
Matrose Balthaus,00:00:01,0.5%,1
Oberbootsmann Müller,00:00:37,13.4%,90
Obermaat Prudöhl,00:00:46,16.3%,110
