name,time,percantage,words
Dominik Mönig,00:00:25,8.9%,78
Jerome Demelius,00:00:22,7.8%,35
Marcel Figule,00:00:18,6.4%,24
Marvin Baunach,00:00:14,5%,29
Matrose Martin,00:00:06,2.4%,23
Oberbootsmann Mahr,00:00:22,7.7%,26
Oberleutnant zur See Boldt,00:02:38,55.3%,367
Patrick Döring,00:00:18,6.3%,66
